halt_punkt_id;halt_punkt_diva;halt_id;GPS_Latitude;GPS_Longitude;GPS_Bearing;halt_punkt_ist_aktiv
3432;3;1539;47,392331;8,538417;346;FALSE
3444;50;1540;47,399807;8,448565;356;TRUE
3446;10;1541;47,376848;8,540508;95;FALSE
3454;1;1542;47,378051;8,541671;337;FALSE
3463;0;1543;47,39609;8,545105;107;FALSE
3487;51;1552;47,307408;8,54209;349;FALSE
3489;51;1553;47,30467;8,544255;325;FALSE
3501;51;1557;47,37167;8,523995;140;TRUE
3529;51;1565;47,366777;8,545821;318;FALSE
3561;50;1571;47,405413;8,481768;121;TRUE
3566;21;1574;47,390278;8,523367;312;FALSE
3593;50;1580;47,405533;8,591343;292;FALSE
3598;50;1581;47,416504;8,579272;103;FALSE
3630;50;1596;47,421958;8,550029;122;FALSE
3638;50;1598;47,42097;8,500984;113;FALSE
3694;50;1631;47,297531;8,554156;327;FALSE
3712;52;1638;47,311795;8,524352;188;FALSE
3789;21;1677;47,424525;8,548678;330;FALSE
3793;51;1679;47,384171;8,659335;130;FALSE
3811;50;1686;47,427799;8,47306;116;TRUE
3813;50;1687;47,41273;8,593271;108;FALSE
3828;50;1692;47,381031;8,673109;98;FALSE
3832;50;1694;47,428028;8,557159;228;FALSE
3837;50;1697;47,423276;8,558764;207;TRUE
3853;50;1706;47,39839;8,620081;32;FALSE
3889;50;1723;47,389171;8,425052;206;TRUE
3891;51;1724;47,414157;8,399621;297;FALSE
3900;51;1729;47,296792;8,562696;333;TRUE
3914;50;1736;47,312681;8,526698;184;TRUE
3922;20;1741;47,323204;8,514411;195;FALSE
3925;51;1743;47,300374;8,550394;328;TRUE
3936;50;1748;47,302476;8,545096;161;FALSE
3980;21;1773;47,365157;8,500879;335;FALSE
4002;50;1784;47,445528;8,530751;159;FALSE
4012;51;1790;47,430424;8,561175;43;FALSE
4026;20;1797;47,427075;8,546318;144;FALSE
4052;50;1809;47,451947;8,53018;151;FALSE
4064;90;1816;47,376981;8,536975;;TRUE
4094;52;1829;47,412268;8,545586;330;FALSE
4132;20;1843;47,409503;8,479118;221;FALSE
4136;21;1845;47,419543;8,506562;0;TRUE
4140;22;1846;47,410412;8,572725;101;TRUE
4149;50;1850;47,449683;8,529868;172;FALSE
4151;21;1851;47,358023;8,522235;175;FALSE
4153;20;1852;47,363859;8,528139;210;TRUE
4159;91;1854;47,357898;8,520247;;TRUE
4188;50;1869;47,313212;8,527661;201;FALSE
4195;0;1873;47,416633;8,545293;203;FALSE
4205;20;1874;47,421386;8,50758;201;FALSE
4212;50;1879;47,400764;8,624401;233;TRUE
4218;1;1884;47,411215;8,550282;2;TRUE
4228;21;1885;47,41267;8,5417;150;FALSE
